Name,release year,volume(mm^3),weight(g),screen size(in),total resolution,OSType,number of cores,core clock rate(gHz),ram,primary camera(MP),battery(mAh)
Samsung Galaxy Fame S6810,2013.0,80888.192,120.6,3.5,153600.0,2.0,1.0,1.0,0.512,5.0,1300.0,
Samsung Galaxy Express I8730,2013.0,84955.68599999999,139.1,4.5,384000.0,2.0,2.0,1.2,1.0,5.0,2000.0,
Samsung S7710 Galaxy Xcover 2,2013.0,106018.20000000001,148.5,4.0,384000.0,2.0,2.0,1.0,1.0,5.0,1700.0,
Samsung I9105 Galaxy S II Plus,2013.0,70399.805,121.0,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,1650.0,
Samsung Galaxy Grand I9082,2012.0,105937.44000000002,162.0,5.0,384000.0,2.0,2.0,1.2,1.0,8.0,2100.0,
Samsung Galaxy Grand I9080,2012.0,105937.44000000002,162.0,5.0,384000.0,2.0,2.0,1.2,1.0,8.0,2100.0,
Samsung Galaxy Note LTE 10.1 N8020,2012.0,419724.0,600.0,10.1,1024000.0,2.0,4.0,1.4,2.0,5.0,7000.0,
Samsung Galaxy Axiom R830,2012.0,92397.07400000001,136.1,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,2100.0,
Samsung Galaxy Stratosphere II I415,2012.0,111592.35,154.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1800.0,
Samsung Galaxy Discover S730M,2012.0,79777.8,122.0,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1300.0,
Samsung Galaxy Pop SHV-E220,2013.0,83165.08199999998,134.0,4.65,921600.0,2.0,4.0,1.4,1.0,8.0,2100.0,
Samsung Galaxy Premier I9260,2012.0,82130.4,130.0,4.65,921600.0,2.0,2.0,1.5,1.0,8.0,2100.0,
Samsung Google Nexus 10 P8110,2012.0,417130.89599999995,603.0,10.1,4096000.0,2.0,2.0,1.7,2.0,5.0,9000.0,
Samsung I8190 Galaxy S III mini,2012.0,75841.92,111.5,4.0,384000.0,2.0,1.0,1.0,1.0,5.0,1500.0,
Samsung Galaxy Music S6010,2012.0,79899.57,106.9,3.0,76800.0,2.0,1.0,0.85,0.512,3.0,1300.0,
Samsung Galaxy Music Duos S6012,2012.0,79899.57,106.9,3.0,76800.0,2.0,1.0,0.85,0.512,3.0,1300.0,
Samsung Galaxy Rugby Pro I547,2012.0,108915.2,159.0,4.0,384000.0,2.0,2.0,1.5,1.0,5.0,1850.0,
Samsung Galaxy Express I437,2012.0,83621.53799999999,136.0,4.5,384000.0,2.0,2.0,1.5,1.0,5.0,2000.0,
Samsung I9305 Galaxy S III,2012.0,82938.05599999998,131.0,4.8,921600.0,2.0,4.0,1.4,2.0,8.0,2100.0,
Samsung Galaxy Victory 4G LTE L300,2012.0,98306.255,139.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,2100.0,
Samsung Galaxy S Relay 4G T699,2012.0,112266.0,147.0,4.0,384000.0,2.0,2.0,1.5,1.0,5.0,1800.0,
Samsung Galaxy Note II N7100,2012.0,114337.37,183.0,5.5,921600.0,2.0,4.0,1.6,2.0,8.0,3100.0,
Samsung Galaxy Note II CDMA,2012.0,114337.37,179.4,5.5,921600.0,2.0,4.0,1.6,2.0,8.0,3100.0,
Samsung Galaxy Camera GC100,2012.0,174038.436,300.0,4.8,921600.0,2.0,4.0,1.4,1.0,16.0,1650.0,
Samsung Galaxy Rush M830,2012.0,87604.349,119.1,3.5,153600.0,2.0,1.0,1.0,0.768,3.0,1750.0,
Samsung Galaxy Stellar 4G I200,2012.0,93696.0,134.0,4.0,384000.0,2.0,2.0,1.2,1.0,3.0,2100.0,
Samsung Galaxy Reverb M950,2011.0,88230.40000000001,129.0,4.0,384000.0,2.0,1.0,1.4,0.768,5.0,1700.0,
Samsung Galaxy Tab 2 7.0 I705,2012.0,246699.64800000004,345.7,7.0,614400.0,2.0,2.0,1.2,1.0,3.0,4000.0,
Samsung Galaxy Note 10.1 N8000,2012.0,419724.0,600.0,10.1,1024000.0,2.0,4.0,1.4,2.0,5.0,7000.0,
Samsung Galaxy Note 10.1 N8010,2012.0,419724.0,597.0,10.1,1024000.0,2.0,4.0,1.4,2.0,5.0,7000.0,
Samsung Galaxy S Duos S7562,2012.0,80499.82500000001,120.0,4.0,384000.0,2.0,1.0,1.0,0.768,5.0,1500.0,
Samsung Galaxy I8250,2012.0,81033.75,125.0,4.0,384000.0,2.0,1.0,1.0,0.512,8.0,1650.0,
Samsung Galaxy Ace Advance S6800,2012.0,79707.075,122.0,3.5,153600.0,2.0,1.0,0.832,0.512,5.0,1300.0,
Samsung Galaxy Ace Duos S6802,2012.0,79707.075,122.0,3.5,153600.0,2.0,1.0,0.832,0.512,5.0,1300.0,
Samsung Galaxy Appeal I827,2012.0,91766.08,114.2,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1300.0,
Samsung Galaxy Tab 8.9 4G P7320T,2012.0,313349.772,458.0,8.9,1024000.0,2.0,2.0,1.5,1.0,3.0,6100.0,
Samsung Galaxy S III T999,2012.0,82938.05599999998,133.0,4.8,921600.0,2.0,2.0,1.5,2.0,8.0,2100.0,
Samsung Galaxy S III I747,2012.0,82938.05599999998,134.0,4.8,921600.0,2.0,2.0,1.5,2.0,8.0,2100.0,
Samsung Galaxy S III CDMA,2012.0,74137.39199999998,133.2,4.8,921600.0,2.0,2.0,1.5,2.0,8.0,2100.0,
Samsung I9300 Galaxy S III,2012.0,82938.05599999998,133.0,4.8,921600.0,2.0,4.0,1.4,1.0,8.0,2100.0,
Samsung I8530 Galaxy Beam,2012.0,99510.0,145.3,4.0,384000.0,2.0,2.0,1.0,0.768,5.0,2000.0,
Samsung Galaxy Tab 2 10.1 P5110,2012.0,436325.20600000006,581.0,10.1,1024000.0,2.0,2.0,1.0,1.0,3.0,7000.0,
Samsung Galaxy Tab 2 10.1 CDMA,2012.0,436325.20600000006,581.2,10.1,1024000.0,2.0,2.0,1.5,1.0,3.0,7000.0,
Samsung Galaxy Tab 2 10.1 P5100,2012.0,436325.20600000006,588.0,10.1,1024000.0,2.0,2.0,1.0,1.0,3.0,7000.0,
Samsung Rugby Smart I847,2012.0,98407.152,119.0,3.7,384000.0,2.0,1.0,1.4,0.512,5.0,1650.0,
Samsung Galaxy Ace II X S7560M,2012.0,80499.82500000001,122.0,4.0,384000.0,2.0,1.0,1.0,0.768,5.0,1500.0,
Samsung Galaxy Ace 2 I8160,2012.0,77261.73,122.0,3.8,384000.0,2.0,2.0,0.8,0.768,5.0,1500.0,
Samsung Galaxy mini 2 S6500,2012.0,74365.744,105.3,3.27,153600.0,2.0,1.0,0.8,0.512,3.0,1300.0,
Samsung Galaxy Pop Plus S5570i,2012.0,80951.90400000001,106.6,3.14,76800.0,2.0,1.0,0.832,0.384,3.0,1200.0,
Samsung Galaxy Tab 2 7.0 P3110,2012.0,248943.24000000002,344.0,7.0,614400.0,2.0,2.0,1.0,1.0,3.0,4000.0,
Samsung Galaxy Tab 2 7.0 P3100,2012.0,248943.24000000002,345.0,7.0,614400.0,2.0,2.0,1.0,1.0,3.0,4000.0,
Samsung I9070 Galaxy S Advance,2012.0,75287.52,120.0,4.0,384000.0,2.0,2.0,1.0,0.768,5.0,1500.0,
Samsung Galaxy Nexus I9250M,2012.0,81884.005,135.0,4.65,921600.0,2.0,2.0,1.2,1.0,5.0,1750.0,
Samsung Galaxy S Blaze 4G T769,2012.0,86012.64,127.6,3.97,384000.0,2.0,2.0,1.5,1.0,5.0,1750.0,
Samsung Galaxy Tab 7.7 LTE I815,2012.0,206722.934,340.2,7.7,1024000.0,2.0,2.0,1.4,1.0,3.0,5100.0,
Samsung Galaxy Nexus LTE L700,2012.0,86795.46399999999,144.5,4.65,921600.0,2.0,2.0,1.2,1.0,5.0,1850.0,
Samsung Exhilarate i577,2012.0,92232.0,130.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1750.0,
Samsung Galaxy Note T879,2012.0,118331.07599999999,180.0,5.3,1024000.0,2.0,2.0,1.5,1.0,8.0,2500.0,
Samsung Galaxy Note I717,2012.0,118188.68000000001,178.0,5.3,1024000.0,2.0,2.0,1.5,1.0,8.0,2500.0,
Samsung Galaxy Ace Plus S7500,2012.0,80150.0,115.0,3.65,153600.0,2.0,1.0,1.0,0.512,5.0,1300.0,
Samsung I929 Galaxy S II Duos,2011.0,86749.23400000001,138.0,4.52,384000.0,2.0,2.0,1.2,1.0,8.0,1800.0,
Samsung Galaxy Y Duos S6102,2011.0,79056.0,109.0,3.14,76800.0,2.0,1.0,0.832,0.512,3.0,1300.0,
Samsung Galaxy Y Pro Duos B5512,2011.0,83726.02,112.3,2.6,76800.0,2.0,1.0,0.832,0.512,3.0,1350.0,
Samsung I110 Illusion,2011.0,80174.952,120.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1500.0,
Samsung Galaxy S II Skyrocket i727,2011.0,84837.28,130.5,4.5,384000.0,2.0,2.0,1.5,1.0,8.0,1850.0,
Samsung Exhibit II 4G T679,2011.0,75900.0,116.0,3.7,384000.0,2.0,1.0,1.0,0.512,3.0,1500.0,
Samsung Galaxy Nexus i515,2011.0,87404.27500000001,150.0,4.65,921600.0,2.0,2.0,1.2,1.0,5.0,1850.0,
Samsung Galaxy Nexus I9250,2011.0,81884.005,135.0,4.65,921600.0,2.0,2.0,1.2,1.0,5.0,1750.0,
Samsung I9100G Galaxy S II,2011.0,70399.805,116.0,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,1650.0,
Samsung I405 Stratosphere,2011.0,114660.0,164.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1800.0,
Samsung i927 Captivate Glide,2011.0,103168.0,147.0,4.0,384000.0,2.0,2.0,1.0,1.0,8.0,1650.0,
Samsung DoubleTime I857,2011.0,105090.0,148.0,3.2,153600.0,2.0,1.0,0.8,0.256,3.0,1200.0,
Samsung P6210 Galaxy Tab 7.0 Plus,2011.0,234717.912,345.0,7.0,614400.0,2.0,2.0,1.2,1.0,3.0,4000.0,
Samsung P6200 Galaxy Tab 7.0 Plus,2011.0,234717.912,345.0,7.0,614400.0,2.0,2.0,1.2,1.0,3.0,4000.0,
Samsung Galaxy S II HD LTE,2011.0,84837.28,130.5,4.65,921600.0,2.0,2.0,1.5,1.0,8.0,1850.0,
Samsung P6800 Galaxy Tab 7.7,2011.0,206672.69,340.0,7.7,1024000.0,2.0,2.0,1.4,1.0,3.0,5100.0,
Samsung Galaxy Note N7000,2011.0,118269.19,178.0,5.3,1024000.0,2.0,2.0,1.4,1.0,8.0,2500.0,
Samsung Galaxy S II I777,2011.0,74012.40000000001,121.9,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,1650.0,
Samsung Galaxy S II T989,2011.0,83944.256,135.0,4.52,384000.0,2.0,2.0,1.5,1.0,8.0,1850.0,
Samsung Galaxy S II Epic 4G Touch,2011.0,91000.0,130.0,4.52,384000.0,2.0,2.0,1.2,1.0,8.0,1800.0,
Samsung Galaxy S II LTE i727R,2011.0,86009.15400000002,132.0,4.5,384000.0,2.0,2.0,1.5,1.0,8.0,1850.0,
Samsung Galaxy S II LTE I9210,2011.0,86009.15400000002,132.0,4.5,384000.0,2.0,2.0,1.5,1.0,8.0,1850.0,
Samsung Galaxy Tab 8.9 LTE I957,2011.0,313349.772,455.0,8.9,1024000.0,2.0,2.0,1.5,1.0,3.0,6100.0,
Samsung Galaxy W I8150,2011.0,79429.34999999999,114.7,3.7,384000.0,2.0,1.0,1.4,0.512,5.0,1500.0,
